model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,GW,horizon
KNeighborsUnif_FULL,,mean_absolute_error,,2.0900585651397705,,2.0900585651397705,1,True,6,2,1
KNeighborsDist_FULL,,mean_absolute_error,,2.554826498031616,,2.554826498031616,1,True,7,2,1
LightGBMXT,-1.5668377637058497,mean_absolute_error,0.6721158027648926,158.37969994544983,0.6721158027648926,158.37969994544983,1,True,3,2,2
WeightedEnsemble_L2,-1.5668377637058497,mean_absolute_error,0.6729912757873535,160.30527710914612,0.0008754730224609375,1.925577163696289,2,True,4,2,2
KNeighborsUnif,-1.810159999293089,mean_absolute_error,18.953264951705933,42.86881065368652,18.953264951705933,42.86881065368652,1,True,1,2,2
KNeighborsDist,-1.8325220431219786,mean_absolute_error,4.884735345840454,6.434070348739624,4.884735345840454,6.434070348739624,1,True,2,2,2
WeightedEnsemble_L2_FULL,,mean_absolute_error,,155.38668751716614,,1.925577163696289,2,True,8,2,2
LightGBMXT_FULL,,mean_absolute_error,,153.46111035346985,,153.46111035346985,1,True,7,2,2
KNeighborsUnif_FULL,,mean_absolute_error,,37.253663301467896,,37.253663301467896,1,True,5,2,2
KNeighborsDist_FULL,,mean_absolute_error,,12.67202091217041,,12.67202091217041,1,True,6,2,2
LightGBMXT,-1.5828904563575983,mean_absolute_error,0.03338003158569336,131.2559404373169,0.03338003158569336,131.2559404373169,1,True,3,2,3
WeightedEnsemble_L2,-1.5828904563575983,mean_absolute_error,0.034110069274902344,132.4145531654358,0.0007300376892089844,1.1586127281188965,2,True,4,2,3
KNeighborsUnif,-1.8246399992406368,mean_absolute_error,10.388999938964844,18.825249195098877,10.388999938964844,18.825249195098877,1,True,1,2,3
KNeighborsDist,-1.826384009585028,mean_absolute_error,15.697689294815063,47.224982500076294,15.697689294815063,47.224982500076294,1,True,2,2,3
WeightedEnsemble_L2_FULL,,mean_absolute_error,,132.22328567504883,,1.1586127281188965,2,True,8,2,3
LightGBMXT_FULL,,mean_absolute_error,,131.06467294692993,,131.06467294692993,1,True,7,2,3
KNeighborsUnif_FULL,,mean_absolute_error,,7.971814393997192,,7.971814393997192,1,True,5,2,3
KNeighborsDist_FULL,,mean_absolute_error,,6.981393337249756,,6.981393337249756,1,True,6,2,3
LightGBMXT,-1.5335792112314608,mean_absolute_error,0.3361351490020752,161.97805047035217,0.3361351490020752,161.97805047035217,1,True,3,2,4
WeightedEnsemble_L2,-1.5335792112314608,mean_absolute_error,0.3369884490966797,162.7520294189453,0.0008533000946044922,0.7739789485931396,2,True,4,2,4
KNeighborsUnif,-1.803920000231266,mean_absolute_error,11.377910852432251,64.4751935005188,11.377910852432251,64.4751935005188,1,True,1,2,4
KNeighborsDist,-1.8153087573230267,mean_absolute_error,6.792301654815674,15.430375337600708,6.792301654815674,15.430375337600708,1,True,2,2,4
WeightedEnsemble_L2_FULL,,mean_absolute_error,,127.04221057891846,,0.7739789485931396,2,True,8,2,4
LightGBMXT_FULL,,mean_absolute_error,,126.26823163032532,,126.26823163032532,1,True,7,2,4
KNeighborsUnif_FULL,,mean_absolute_error,,4.738485336303711,,4.738485336303711,1,True,5,2,4
KNeighborsDist_FULL,,mean_absolute_error,,3.0063138008117676,,3.0063138008117676,1,True,6,2,4
WeightedEnsemble_L2,-1.6321385610784405,mean_absolute_error,6.859759569168091,237.95359134674072,0.054082393646240234,0.5679545402526855,2,True,4,2,5
LightGBMXT,-1.6322449389805085,mean_absolute_error,1.1757543087005615,224.71460461616516,1.1757543087005615,224.71460461616516,1,True,3,2,5
KNeighborsUnif,-1.8420000006079673,mean_absolute_error,9.847025156021118,8.219095706939697,9.847025156021118,8.219095706939697,1,True,1,2,5
KNeighborsDist,-1.8482111375019885,mean_absolute_error,5.629922866821289,12.671032190322876,5.629922866821289,12.671032190322876,1,True,2,2,5
WeightedEnsemble_L2_FULL,,mean_absolute_error,,238.3538601398468,,0.5679545402526855,2,True,8,2,5
LightGBMXT_FULL,,mean_absolute_error,,230.40023708343506,,230.40023708343506,1,True,7,2,5
KNeighborsUnif_FULL,,mean_absolute_error,,5.197993516921997,,5.197993516921997,1,True,5,2,5
KNeighborsDist_FULL,,mean_absolute_error,,7.385668516159058,,7.385668516159058,1,True,6,2,5
LightGBMXT,-1.6288034610243747,mean_absolute_error,0.36040782928466797,243.28857588768005,0.36040782928466797,243.28857588768005,1,True,3,2,6
WeightedEnsemble_L2,-1.6288034610243747,mean_absolute_error,0.41075992584228516,243.73054766654968,0.05035209655761719,0.4419717788696289,2,True,4,2,6
KNeighborsUnif,-1.8848800020933152,mean_absolute_error,5.732869386672974,6.7312445640563965,5.732869386672974,6.7312445640563965,1,True,1,2,6
KNeighborsDist,-1.8964702337639405,mean_absolute_error,10.71284818649292,6.0198493003845215,10.71284818649292,6.0198493003845215,1,True,2,2,6
WeightedEnsemble_L2_FULL,,mean_absolute_error,,213.87800073623657,,0.4419717788696289,2,True,8,2,6
LightGBMXT_FULL,,mean_absolute_error,,213.43602895736694,,213.43602895736694,1,True,7,2,6
KNeighborsUnif_FULL,,mean_absolute_error,,5.220945835113525,,5.220945835113525,1,True,5,2,6
KNeighborsDist_FULL,,mean_absolute_error,,2.304642915725708,,2.304642915725708,1,True,6,2,6
LightGBMXT,-1.4632294921313878,mean_absolute_error,2.477719306945801,287.06193709373474,2.477719306945801,287.06193709373474,1,True,3,3,1
WeightedEnsemble_L2,-1.4632294921313878,mean_absolute_error,2.478452205657959,287.84049463272095,0.0007328987121582031,0.778557538986206,2,True,4,3,1
KNeighborsUnif,-1.7509599983751774,mean_absolute_error,0.4910898208618164,0.8561716079711914,0.4910898208618164,0.8561716079711914,1,True,1,3,1
KNeighborsDist,-1.7608862920556216,mean_absolute_error,1.6178569793701172,1.309225082397461,1.6178569793701172,1.309225082397461,1,True,2,3,1
WeightedEnsemble_L2_FULL,,mean_absolute_error,,383.95297622680664,,0.778557538986206,2,True,8,3,1
LightGBMXT_FULL,,mean_absolute_error,,383.17441868782043,,383.17441868782043,1,True,7,3,1
KNeighborsUnif_FULL,,mean_absolute_error,,3.0432465076446533,,3.0432465076446533,1,True,5,3,1
KNeighborsDist_FULL,,mean_absolute_error,,5.54822301864624,,5.54822301864624,1,True,6,3,1
LightGBMXT,-1.5545873856663703,mean_absolute_error,0.2613990306854248,161.88210129737854,0.2613990306854248,161.88210129737854,1,True,3,3,2
WeightedEnsemble_L2,-1.5545873856663703,mean_absolute_error,0.3768613338470459,165.58675503730774,0.1154623031616211,3.704653739929199,2,True,4,3,2
KNeighborsUnif,-1.8107199991643428,mean_absolute_error,9.194385528564453,8.745169162750244,9.194385528564453,8.745169162750244,1,True,1,3,2
KNeighborsDist,-1.822182219490409,mean_absolute_error,7.86168909072876,29.371458292007446,7.86168909072876,29.371458292007446,1,True,2,3,2
WeightedEnsemble_L2_FULL,,mean_absolute_error,,133.7049434185028,,3.704653739929199,2,True,8,3,2
LightGBMXT_FULL,,mean_absolute_error,,130.0002896785736,,130.0002896785736,1,True,7,3,2
KNeighborsUnif_FULL,,mean_absolute_error,,38.02389478683472,,38.02389478683472,1,True,5,3,2
KNeighborsDist_FULL,,mean_absolute_error,,11.82388162612915,,11.82388162612915,1,True,6,3,2
LightGBMXT,-1.623645502960682,mean_absolute_error,3.161318778991699,115.6317720413208,3.161318778991699,115.6317720413208,1,True,3,3,3
WeightedEnsemble_L2,-1.623645502960682,mean_absolute_error,3.161961793899536,118.22345113754272,0.0006430149078369141,2.591679096221924,2,True,4,3,3
KNeighborsUnif,-1.8835200017929077,mean_absolute_error,9.179856777191162,37.00838851928711,9.179856777191162,37.00838851928711,1,True,1,3,3
KNeighborsDist,-1.8934404862239957,mean_absolute_error,12.176000118255615,54.0613579750061,12.176000118255615,54.0613579750061,1,True,2,3,3
WeightedEnsemble_L2_FULL,,mean_absolute_error,,92.16256499290466,,2.591679096221924,2,True,8,3,3
LightGBMXT_FULL,,mean_absolute_error,,89.57088589668274,,89.57088589668274,1,True,7,3,3
KNeighborsUnif_FULL,,mean_absolute_error,,14.261106014251709,,14.261106014251709,1,True,5,3,3
KNeighborsDist_FULL,,mean_absolute_error,,5.544977903366089,,5.544977903366089,1,True,6,3,3
LightGBMXT,-1.5854062493354082,mean_absolute_error,0.6171352863311768,160.25734639167786,0.6171352863311768,160.25734639167786,1,True,3,3,4
WeightedEnsemble_L2,-1.5854062493354082,mean_absolute_error,0.6177585124969482,162.04024529457092,0.0006232261657714844,1.7828989028930664,2,True,4,3,4
KNeighborsUnif,-1.84672000105381,mean_absolute_error,10.556793689727783,6.815501689910889,10.556793689727783,6.815501689910889,1,True,1,3,4
KNeighborsDist,-1.84758576900959,mean_absolute_error,36.467459201812744,19.21556305885315,36.467459201812744,19.21556305885315,1,True,2,3,4
WeightedEnsemble_L2_FULL,,mean_absolute_error,,92.45865082740784,,1.7828989028930664,2,True,8,3,4
LightGBMXT_FULL,,mean_absolute_error,,90.67575192451477,,90.67575192451477,1,True,7,3,4
KNeighborsUnif_FULL,,mean_absolute_error,,4.849406957626343,,4.849406957626343,1,True,5,3,4
KNeighborsDist_FULL,,mean_absolute_error,,6.145979642868042,,6.145979642868042,1,True,6,3,4
WeightedEnsemble_L2,-1.606291742336005,mean_absolute_error,14.934910297393799,217.90958046913147,0.0007631778717041016,0.8651530742645264,2,True,4,3,5
LightGBMXT,-1.6073078556677327,mean_absolute_error,0.6321160793304443,208.7875461578369,0.6321160793304443,208.7875461578369,1,True,3,3,5
KNeighborsUnif,-1.8366400020360947,mean_absolute_error,5.700225353240967,4.958193063735962,5.700225353240967,4.958193063735962,1,True,1,3,5
KNeighborsDist,-1.8390014924760907,mean_absolute_error,14.30203104019165,8.25688123703003,14.30203104019165,8.25688123703003,1,True,2,3,5
WeightedEnsemble_L2_FULL,,mean_absolute_error,,123.5571186542511,,0.8651530742645264,2,True,8,3,5
LightGBMXT_FULL,,mean_absolute_error,,102.33945846557617,,102.33945846557617,1,True,7,3,5
KNeighborsUnif_FULL,,mean_absolute_error,,19.553340435028076,,19.553340435028076,1,True,5,3,5
KNeighborsDist_FULL,,mean_absolute_error,,20.3525071144104,,20.3525071144104,1,True,6,3,5
LightGBMXT,-1.6490953898954206,mean_absolute_error,0.09474706649780273,202.80359292030334,0.09474706649780273,202.80359292030334,1,True,3,3,6
WeightedEnsemble_L2,-1.6490953898954206,mean_absolute_error,0.09544992446899414,204.82895922660828,0.0007028579711914062,2.0253663063049316,2,True,4,3,6
KNeighborsUnif,-1.9231200007140636,mean_absolute_error,5.1939780712127686,17.802069425582886,5.1939780712127686,17.802069425582886,1,True,1,3,6
KNeighborsDist,-1.928875414015504,mean_absolute_error,7.341426610946655,16.79974341392517,7.341426610946655,16.79974341392517,1,True,2,3,6
WeightedEnsemble_L2_FULL,,mean_absolute_error,,106.215505361557,,2.0253663063049316,2,True,8,3,6
LightGBMXT_FULL,,mean_absolute_error,,104.19013905525208,,104.19013905525208,1,True,7,3,6
KNeighborsUnif_FULL,,mean_absolute_error,,6.797587633132935,,6.797587633132935,1,True,5,3,6
KNeighborsDist_FULL,,mean_absolute_error,,9.312630891799927,,9.312630891799927,1,True,6,3,6
LightGBMXT,-1.4659670289902016,mean_absolute_error,0.09261131286621094,194.46079111099243,0.09261131286621094,194.46079111099243,1,True,3,4,1
WeightedEnsemble_L2,-1.4659670289902016,mean_absolute_error,0.09370636940002441,194.9063332080841,0.0010950565338134766,0.4455420970916748,2,True,5,4,1
LightGBM,-1.483696265798807,mean_absolute_error,0.1711435317993164,86.81433749198914,0.1711435317993164,86.81433749198914,1,True,4,4,1
KNeighborsUnif,-1.7505600000083446,mean_absolute_error,0.3438241481781006,0.8768551349639893,0.3438241481781006,0.8768551349639893,1,True,1,4,1
KNeighborsDist,-1.7694726439407096,mean_absolute_error,1.7951006889343262,1.5442185401916504,1.7951006889343262,1.5442185401916504,1,True,2,4,1
WeightedEnsemble_L2_FULL,,mean_absolute_error,,120.25054335594177,,0.4455420970916748,2,True,10,4,1
LightGBM_FULL,,mean_absolute_error,,83.61570858955383,,83.61570858955383,1,True,9,4,1
LightGBMXT_FULL,,mean_absolute_error,,119.8050012588501,,119.8050012588501,1,True,8,4,1
KNeighborsUnif_FULL,,mean_absolute_error,,1.3753714561462402,,1.3753714561462402,1,True,6,4,1
KNeighborsDist_FULL,,mean_absolute_error,,1.6913952827453613,,1.6913952827453613,1,True,7,4,1
WeightedEnsemble_L2,-1.4981026511258446,mean_absolute_error,18.462311029434204,96.79185605049133,0.12140750885009766,0.8726816177368164,2,True,5,4,2
LightGBM,-1.4985882573918439,mean_absolute_error,0.24091458320617676,89.58731460571289,0.24091458320617676,89.58731460571289,1,True,4,4,2
LightGBMXT,-1.5077932614602148,mean_absolute_error,0.2596299648284912,118.31646990776062,0.2596299648284912,118.31646990776062,1,True,3,4,2
KNeighborsUnif,-1.7140799989819526,mean_absolute_error,18.09998893737793,6.331859827041626,18.09998893737793,6.331859827041626,1,True,1,4,2
KNeighborsDist,-1.727555853612721,mean_absolute_error,6.966638565063477,11.783379316329956,6.966638565063477,11.783379316329956,1,True,2,4,2
WeightedEnsemble_L2_FULL,,mean_absolute_error,,156.32648253440857,,0.8726816177368164,2,True,10,4,2
LightGBM_FULL,,mean_absolute_error,,150.9336814880371,,150.9336814880371,1,True,9,4,2
LightGBMXT_FULL,,mean_absolute_error,,93.42904448509216,,93.42904448509216,1,True,8,4,2
KNeighborsUnif_FULL,,mean_absolute_error,,4.5201194286346436,,4.5201194286346436,1,True,6,4,2
KNeighborsDist_FULL,,mean_absolute_error,,4.667805433273315,,4.667805433273315,1,True,7,4,2
LightGBMXT,-1.5501773253499298,mean_absolute_error,0.28508830070495605,198.859694480896,0.28508830070495605,198.859694480896,1,True,3,4,3
WeightedEnsemble_L2,-1.5501773253499298,mean_absolute_error,0.49517107009887695,199.7293667793274,0.2100827693939209,0.8696722984313965,2,True,5,4,3
LightGBM,-1.5963407569527626,mean_absolute_error,0.10576725006103516,49.17957592010498,0.10576725006103516,49.17957592010498,1,True,4,4,3
KNeighborsUnif,-1.7912800020515918,mean_absolute_error,5.315161466598511,6.348832368850708,5.315161466598511,6.348832368850708,1,True,1,4,3
KNeighborsDist,-1.8003564714696259,mean_absolute_error,6.360134601593018,8.174386978149414,6.360134601593018,8.174386978149414,1,True,2,4,3
WeightedEnsemble_L2_FULL,,mean_absolute_error,,164.9621868133545,,0.8696722984313965,2,True,10,4,3
LightGBM_FULL,,mean_absolute_error,,41.85654973983765,,41.85654973983765,1,True,9,4,3
LightGBMXT_FULL,,mean_absolute_error,,164.0925145149231,,164.0925145149231,1,True,8,4,3
KNeighborsUnif_FULL,,mean_absolute_error,,6.988292217254639,,6.988292217254639,1,True,6,4,3
